,probe_cc,total,confirmed_count,anomaly_count
220,VE,20933,1.0,1.0
221,VG,36,,
222,VI,24,1.0,1.0
223,VN,4317,1.0,1.0
224,VU,130,1.0,1.0
225,WF,12,,
226,WS,55,,
227,YE,13852,1.0,1.0
228,YT,17,,
229,ZA,15054,1.0,1.0
230,ZM,1585,1.0,1.0
231,ZW,3893,1.0,1.0
232,ZZ,250263,1.0,1.0
